Action,Element,Parent,Element Type,Weighting,Attribute,Attribute Type,Attribute Value,Filter
Unwind,142042,ABGCC-075,,,,,,
Unwind,142050,ABGCC-075,,,,,,
Unwind,142052,ABGCC-075,,,,,,
Unwind,142065,ABGCC-075,,,,,,
Unwind,142085,ABGCC-075,,,,,,
Unwind,142120,ABGCC-075,,,,,,
Unwind,142140,ABGCC-075,,,,,,
Unwind,142145,ABGCC-075,,,,,,
Unwind,142230,ABGCC-075,,,,,,
Unwind,142239,ABGCC-075,,,,,,
Unwind,142250,ABGCC-075,,,,,,
Unwind,142253,ABGCC-075,,,,,,
Unwind,142255,ABGCC-075,,,,,,
Unwind,142256,ABGCC-075,,,,,,
Unwind,142257,ABGCC-075,,,,,,
Unwind,142285,ABGCC-075,,,,,,
Unwind,142300,ABGCC-075,,,,,,
Unwind,142301,ABGCC-075,,,,,,
Unwind,142315,ABGCC-075,,,,,,
Unwind,142320,ABGCC-075,,,,,,
Unwind,142325,ABGCC-075,,,,,,
Unwind,142360,ABGCC-075,,,,,,
Unwind,142370,ABGCC-075,,,,,,
Unwind,142385,ABGCC-075,,,,,,
Unwind,142391,ABGCC-075,,,,,,
Unwind,142410,ABGCC-075,,,,,,
Unwind,142440,ABGCC-075,,,,,,
Unwind,142487,ABGCC-075,,,,,,
Unwind,142755,ABGCC-075,,,,,,
Unwind,143017,ABGCC-075,,,,,,
Unwind,143024,ABGCC-075,,,,,,
Unwind,144040,ABGCC-075,,,,,,
Unwind,144068,ABGCC-075,,,,,,
Unwind,144201,ABGCC-075,,,,,,
Unwind,144383,ABGCC-075,,,,,,
Unwind,144386,ABGCC-075,,,,,,
Unwind,144436,ABGCC-075,,,,,,
Unwind,145006,ABGCC-075,,,,,,
Unwind,147016,ABGCC-075,,,,,,
Unwind,147018,ABGCC-075,,,,,,
Unwind,147020,ABGCC-075,,,,,,
Unwind,147031,ABGCC-075,,,,,,
Unwind,147082,ABGCC-075,,,,,,
Unwind,147085,ABGCC-075,,,,,,
Unwind,147086,ABGCC-075,,,,,,
Unwind,147091,ABGCC-075,,,,,,
Unwind,147092,ABGCC-075,,,,,,
Unwind,147094,ABGCC-075,,,,,,
Unwind,147113,ABGCC-075,,,,,,
Unwind,147116,ABGCC-075,,,,,,
Unwind,147118,ABGCC-075,,,,,,
Unwind,147119,ABGCC-075,,,,,,
Unwind,147208,ABGCC-075,,,,,,
Unwind,147210,ABGCC-075,,,,,,
Unwind,234322,ABGCC-075,,,,,,
Unwind,234323,ABGCC-075,,,,,,
Unwind,530404,ABGCC-075,,,,,,
Unwind,530490,ABGCC-075,,,,,,
Unwind,530515,ABGCC-075,,,,,,
Unwind,530550,ABGCC-075,,,,,,
Unwind,530570,ABGCC-075,,,,,,
Unwind,530575,ABGCC-075,,,,,,
Unwind,530746,ABGCC-075,,,,,,
Unwind,530747,ABGCC-075,,,,,,
Unwind,530790,ABGCC-075,,,,,,
Unwind,530941,ABGCC-075,,,,,,
Unwind,531000,ABGCC-075,,,,,,
Unwind,531070,ABGCC-075,,,,,,
Unwind,531380,ABGCC-075,,,,,,
Unwind,531400,ABGCC-075,,,,,,
Unwind,531410,ABGCC-075,,,,,,
Unwind,531430,ABGCC-075,,,,,,
Unwind,531480,ABGCC-075,,,,,,
Unwind,531500,ABGCC-075,,,,,,
Unwind,531585,ABGCC-075,,,,,,
Unwind,531620,ABGCC-075,,,,,,
Unwind,531660,ABGCC-075,,,,,,
Unwind,531710,ABGCC-075,,,,,,
Unwind,531830,ABGCC-075,,,,,,
Unwind,531850,ABGCC-075,,,,,,
Unwind,531880,ABGCC-075,,,,,,
Unwind,531900,ABGCC-075,,,,,,
Unwind,532075,ABGCC-075,,,,,,
Unwind,532140,ABGCC-075,,,,,,
Unwind,532191,ABGCC-075,,,,,,
Unwind,532200,ABGCC-075,,,,,,
Unwind,532201,ABGCC-075,,,,,,
Unwind,532330,ABGCC-075,,,,,,
Unwind,532340,ABGCC-075,,,,,,
Unwind,532350,ABGCC-075,,,,,,
Unwind,532370,ABGCC-075,,,,,,
Unwind,532420,ABGCC-075,,,,,,
Unwind,532440,ABGCC-075,,,,,,
Unwind,532450,ABGCC-075,,,,,,
Unwind,532470,ABGCC-075,,,,,,
Unwind,532535,ABGCC-075,,,,,,
Unwind,533180,ABGCC-075,,,,,,
Unwind,533181,ABGCC-075,,,,,,
Unwind,534005,ABGCC-075,,,,,,
Unwind,534170,ABGCC-075,,,,,,
Unwind,534185,ABGCC-075,,,,,,
Unwind,534230,ABGCC-075,,,,,,
Unwind,534368,ABGCC-075,,,,,,
Unwind,534571,ABGCC-075,,,,,,
Unwind,534780,ABGCC-075,,,,,,
Unwind,534820,ABGCC-075,,,,,,
Unwind,534930,ABGCC-075,,,,,,
Unwind,534940,ABGCC-075,,,,,,
Unwind,534990,ABGCC-075,,,,,,
Unwind,535060,ABGCC-075,,,,,,
Unwind,535240,ABGCC-075,,,,,,
Unwind,535275,ABGCC-075,,,,,,
Unwind,535364,ABGCC-075,,,,,,
Unwind,535366,ABGCC-075,,,,,,
Unwind,730808,ABGCC-075,,,,,,
Unwind,730941,ABGCC-075,,,,,,
Unwind,730954,ABGCC-075,,,,,,
Unwind,731258,ABGCC-075,,,,,,
Unwind,740384,ABGCC-075,,,,,,
Unwind,740386,ABGCC-075,,,,,,
Unwind,740391,ABGCC-075,,,,,,
Unwind,740392,ABGCC-075,,,,,,
Unwind,740393,ABGCC-075,,,,,,
Unwind,849634,ABGCC-075,,,,,,
Unwind,MIRM4260,ABGCC-075,,,,,,
Unwind,MIRM4340,ABGCC-075,,,,,,
Unwind,MIITCADM,ABGCC-075,,,,,,
Unwind,MISG0191,ABGCC-075,,,,,,
Unwind,MISG0192,ABGCC-075,,,,,,
Unwind,MISG0199,ABGCC-075,,,,,,
Unwind,MISG0201,ABGCC-075,,,,,,
Unwind,MISG0212,ABGCC-075,,,,,,
Unwind,MISG0216,ABGCC-075,,,,,,
Unwind,MISG0532,ABGCC-075,,,,,,
Unwind,849224,ABGCC-075,,,,,,
Unwind,849244,ABGCC-075,,,,,,
Unwind,849245,ABGCC-075,,,,,,
Unwind,849260,ABGCC-075,,,,,,
Unwind,849270,ABGCC-075,,,,,,
Unwind,849272,ABGCC-075,,,,,,
Unwind,849289,ABGCC-075,,,,,,
Unwind,849560,ABGCC-075,,,,,,
Unwind,849807,ABGCC-075,,,,,,
Unwind,MISG1517,ABGCC-075,,,,,,
Unwind,MICB2107,ABGCC-076,,,,,,
Unwind,MICB2108,ABGCC-076,,,,,,
Unwind,MICB2110,ABGCC-076,,,,,,
Unwind,MICB2131,ABGCC-076,,,,,,
Unwind,MICB2190,ABGCC-076,,,,,,
Unwind,MICB2445,ABGCC-076,,,,,,
Unwind,MICB2525,ABGCC-076,,,,,,
Unwind,MIRB3121,ABGCC-076,,,,,,
Unwind,MIRC3100,ABGCC-076,,,,,,
Unwind,MIRC3950,ABGCC-076,,,,,,
Unwind,MIRM4370,ABGCC-076,,,,,,
Unwind,140620,ABGCC-076,,,,,,
Unwind,147104,ABGCC-076,,,,,,
Unwind,530045,ABGCC-076,,,,,,
Unwind,MIRM4539,ABGCC-076,,,,,,
Unwind,MISG1104,ABGCC-076,,,,,,
Unwind,MI187640,ABGCC-077,,,,,,
Unwind,MISG0205,ABGCC-078,,,,,,
Unwind,846133,ABGCC-078,,,,,,
Unwind,846145,ABGCC-078,,,,,,
Unwind,846149,ABGCC-078,,,,,,
Unwind,846150,ABGCC-078,,,,,,
Unwind,846202,ABGCC-078,,,,,,
Unwind,849247,ABGCC-078,,,,,,
Unwind,849256,ABGCC-078,,,,,,
Unwind,849257,ABGCC-078,,,,,,
Unwind,849271,ABGCC-078,,,,,,
Unwind,849275,ABGCC-078,,,,,,
Unwind,849278,ABGCC-078,,,,,,
Unwind,849454,ABGCC-078,,,,,,
Unwind,MISG0639,ABGCC-078,,,,,,
Unwind,MISG0871,ABGCC-078,,,,,,
Unwind,MISG1424,ABGCC-078,,,,,,
Unwind,MISG1559,ABGCC-078,,,,,,
Unwind,MISG1562,ABGCC-078,,,,,,
Unwind,MISG1571,ABGCC-078,,,,,,
Unwind,843150,ABGCC-078,,,,,,
Unwind,MICB2576,ABGCC-078,,,,,,
Unwind,MIRB0899,ABGCC-078,,,,,,
Unwind,MIRB3024,ABGCC-078,,,,,,
Unwind,MIRE2060,ABGCC-078,,,,,,
Unwind,MIAMG063,ABGCC-079,,,,,,
Unwind,MI187128,ABGCC-079,,,,,,
Unwind,MI234458,ABGCC-079,,,,,,
Unwind,MIAMG058,ABGCC-079,,,,,,
Unwind,MIAMG065,ABGCC-079,,,,,,
Unwind,MISG1476,ABGCC-079,,,,,,
Unwind,MISG1479,ABGCC-079,,,,,,
Unwind,160860,ABGCC-079,,,,,,
Unwind,MIAMG062,ABGCC-079,,,,,,
Unwind,MIAMG069,ABGCC-079,,,,,,
Unwind,MIAMG067,ABGCC-079,,,,,,
Unwind,MICB2320,ABGCC-079,,,,,,
Unwind,MICB2827,ABGCC-079,,,,,,
Unwind,MISG1481,ABGCC-079,,,,,,
Unwind,MI400152,ABGCC-079,,,,,,
Unwind,MIAMG059,ABGCC-079,,,,,,
Unwind,MI400155,ABGCC-079,,,,,,
Unwind,MI400156,ABGCC-079,,,,,,
Unwind,MI400WIB,ABGCC-079,,,,,,
Unwind,096007,ABGCC-079,,,,,,
Unwind,160928,ABGCC-079,,,,,,
Unwind,843860,ABGCC-079,,,,,,
Unwind,849277,ABGCC-079,,,,,,
Unwind,158183,ABGCC-079,,,,,,
Unwind,087570,ABGCC-079,,,,,,
Unwind,103050,ABGCC-079,,,,,,
Unwind,103171,ABGCC-079,,,,,,
Unwind,103750,ABGCC-079,,,,,,
Unwind,730984,ABGCC-079,,,,,,
Unwind,849398,ABGCC-079,,,,,,
Unwind,849399,ABGCC-079,,,,,,
Unwind,849400,ABGCC-079,,,,,,
Unwind,849401,ABGCC-079,,,,,,
Unwind,849803,ABGCC-079,,,,,,
Unwind,MIRB4612,ABGCC-079,,,,,,
Unwind,400144,ABGCC-079,,,,,,
Unwind,400160,ABGCC-079,,,,,,
Unwind,400179,ABGCC-079,,,,,,
Unwind,400180,ABGCC-079,,,,,,
Unwind,400188,ABGCC-079,,,,,,
Unwind,400196,ABGCC-079,,,,,,
Unwind,400197,ABGCC-079,,,,,,
Unwind,400199,ABGCC-079,,,,,,
Unwind,400200,ABGCC-079,,,,,,
Unwind,400201,ABGCC-079,,,,,,
Unwind,400204,ABGCC-079,,,,,,
Unwind,400207,ABGCC-079,,,,,,
Unwind,400208,ABGCC-079,,,,,,
Unwind,400209,ABGCC-079,,,,,,
Unwind,400212,ABGCC-079,,,,,,
Unwind,400220,ABGCC-079,,,,,,
Unwind,400228,ABGCC-079,,,,,,
Unwind,400236,ABGCC-079,,,,,,
Unwind,400239,ABGCC-079,,,,,,
Unwind,400244,ABGCC-079,,,,,,
Unwind,400307,ABGCC-079,,,,,,
Unwind,400308,ABGCC-079,,,,,,
Unwind,400309,ABGCC-079,,,,,,
Unwind,470601,ABGCC-079,,,,,,
Unwind,470602,ABGCC-079,,,,,,
Unwind,470801,ABGCC-079,,,,,,
Unwind,479010,ABGCC-079,,,,,,
Unwind,479011,ABGCC-079,,,,,,
Unwind,MICB2390,ABGCC-079,,,,,,
Unwind,219603,ABGCC-080,,,,,,
Unwind,219604,ABGCC-080,,,,,,
Unwind,219098,ABGCC-080,,,,,,
Unwind,219099,ABGCC-080,,,,,,
Unwind,550727,ABGCC-080,,,,,,
Unwind,550728,ABGCC-080,,,,,,
Unwind,550729,ABGCC-080,,,,,,
Unwind,550730,ABGCC-080,,,,,,
Unwind,550731,ABGCC-080,,,,,,
Unwind,550732,ABGCC-080,,,,,,
Unwind,550733,ABGCC-080,,,,,,
Unwind,550734,ABGCC-080,,,,,,
Unwind,550735,ABGCC-080,,,,,,
Unwind,550736,ABGCC-080,,,,,,
Unwind,550737,ABGCC-080,,,,,,
Unwind,550738,ABGCC-080,,,,,,
Unwind,550739,ABGCC-080,,,,,,
Unwind,219600,ABGCC-080,,,,,,
Unwind,219601,ABGCC-080,,,,,,
Unwind,219602,ABGCC-080,,,,,,
Unwind,846140,ABGCC-080,,,,,,
Unwind,846141,ABGCC-080,,,,,,
Unwind,849251,ABGCC-080,,,,,,
Unwind,111381,ABGCC-080,,,,,,
Unwind,144002,ABGCC-080,,,,,,
Unwind,849250,ABGCC-080,,,,,,
Unwind,532040,ABGCC-080,,,,,,
Unwind,470501,ABGCC-080,,,,,,
Unwind,530171,ABGCC-080,,,,,,
Unwind,070345,ABGCC-080,,,,,,
Unwind,530188,ABGCC-080,,,,,,
Unwind,142047,ABGCC-080,,,,,,
Unwind,158397,ABGCC-080,,,,,,
Unwind,849322,ABGCC-080,,,,,,
Unwind,844306,ABGCC-080,,,,,,
Unwind,144376,ABGCC-080,,,,,,
Unwind,849412,ABGCC-081,,,,,,
Unwind,MI849647,ABGCC-081,,,,,,
Unwind,849234,ABGCC-082,,,,,,
Unwind,MI187214,ABGCC-083,,,,,,
Unwind,843870,ABGCC-083,,,,,,
Unwind,MISG0455,ABGCC-083,,,,,,
Unwind,MISG0478,ABGCC-083,,,,,,
Unwind,MISG0968,ABGCC-083,,,,,,
Unwind,MI187209,ABGCC-083,,,,,,
Unwind,090418,ABGCC-083,,,,,,
Unwind,530590,ABGCC-083,,,,,,
Unwind,095860,ABGCC-083,,,,,,
Unwind,098033,ABGCC-083,,,,,,
Unwind,104410,ABGCC-083,,,,,,
Unwind,187201,ABGCC-083,,,,,,
Unwind,187298,ABGCC-083,,,,,,
Unwind,105956,ABGCC-083,,,,,,
Unwind,535200,ABGCC-083,,,,,,
Unwind,143234,ABGCC-083,,,,,,
Unwind,143319,ABGCC-083,,,,,,
Unwind,143327,ABGCC-083,,,,,,
Unwind,144067,ABGCC-083,,,,,,
Unwind,144279,ABGCC-083,,,,,,
Unwind,144295,ABGCC-083,,,,,,
Unwind,145100,ABGCC-083,,,,,,
Unwind,146020,ABGCC-083,,,,,,
Unwind,147004,ABGCC-083,,,,,,
Unwind,147043,ABGCC-083,,,,,,
Unwind,147044,ABGCC-083,,,,,,
Unwind,147088,ABGCC-083,,,,,,
Unwind,147090,ABGCC-083,,,,,,
Unwind,147095,ABGCC-083,,,,,,
Unwind,147111,ABGCC-083,,,,,,
Unwind,147203,ABGCC-083,,,,,,
Unwind,530175,ABGCC-083,,,,,,
Unwind,530193,ABGCC-083,,,,,,
Unwind,531160,ABGCC-083,,,,,,
Unwind,533711,ABGCC-083,,,,,,
Unwind,534183,ABGCC-083,,,,,,
Unwind,534250,ABGCC-083,,,,,,
Unwind,534290,ABGCC-083,,,,,,
Unwind,534330,ABGCC-083,,,,,,
Unwind,667201,ABGCC-083,,,,,,
Unwind,730863,ABGCC-083,,,,,,
Unwind,730873,ABGCC-083,,,,,,
Unwind,730973,ABGCC-083,,,,,,
Unwind,730983,ABGCC-083,,,,,,
Unwind,731013,ABGCC-083,,,,,,
Unwind,731035,ABGCC-083,,,,,,
Unwind,731152,ABGCC-083,,,,,,
Unwind,731163,ABGCC-083,,,,,,
Unwind,731241,ABGCC-083,,,,,,
Unwind,MIRB3770,ABGCC-083,,,,,,
Unwind,843770,ABGCC-083,,,,,,
Unwind,844305,ABGCC-083,,,,,,
Unwind,846104,ABGCC-083,,,,,,
Unwind,846108,ABGCC-083,,,,,,
Unwind,846218,ABGCC-083,,,,,,
Unwind,846219,ABGCC-083,,,,,,
Unwind,846221,ABGCC-083,,,,,,
Unwind,846225,ABGCC-083,,,,,,
Unwind,846700,ABGCC-083,,,,,,
Unwind,849218,ABGCC-083,,,,,,
Unwind,849219,ABGCC-083,,,,,,
Unwind,849227,ABGCC-083,,,,,,
Unwind,849228,ABGCC-083,,,,,,
Unwind,849229,ABGCC-083,,,,,,
Unwind,849230,ABGCC-083,,,,,,
Unwind,849231,ABGCC-083,,,,,,
Unwind,849232,ABGCC-083,,,,,,
Unwind,849233,ABGCC-083,,,,,,
Unwind,849236,ABGCC-083,,,,,,
Unwind,849237,ABGCC-083,,,,,,
Unwind,849239,ABGCC-083,,,,,,
Unwind,849349,ABGCC-083,,,,,,
Unwind,849355,ABGCC-083,,,,,,
Unwind,849360,ABGCC-083,,,,,,
Unwind,849409,ABGCC-083,,,,,,
Unwind,849904,ABGCC-083,,,,,,
Unwind,MISG0433,ABGCC-083,,,,,,
Unwind,MISG1543,ABGCC-083,,,,,,
Unwind,849242,ABGCC-084,,,,,,
Unwind,530105,ABGCC-084,,,,,,
Unwind,530439,ABGCC-084,,,,,,
Unwind,094235,ABGCC-084,,,,,,
Unwind,142029,ABGCC-084,,,,,,
Unwind,144001,ABGCC-084,,,,,,
Unwind,533075,ABGCC-084,,,,,,
Unwind,535265,ABGCC-084,,,,,,
Unwind,731205,ABGCC-084,,,,,,
Unwind,731601,ABGCC-084,,,,,,
Unwind,143330,ABGCC-084,,,,,,
Unwind,144042,ABGCC-084,,,,,,
Unwind,144423,ABGCC-084,,,,,,
Unwind,530111,ABGCC-084,,,,,,
Unwind,731143,ABGCC-084,,,,,,
Unwind,843273,ABGCC-084,,,,,,
Unwind,843274,ABGCC-084,,,,,,
Unwind,846111,ABGCC-084,,,,,,
Unwind,846220,ABGCC-084,,,,,,
Unwind,142478,ABGCC-084,,,,,,
Unwind,ABGCC-068,ABGCC-085,,,,,,
Unwind,ABGCC-069,ABGCC-085,,,,,,
Unwind,ABGCC-070,ABGCC-085,,,,,,
Unwind,ABGCC-071,ABGCC-085,,,,,,
Unwind,ABGCC-072,ABGCC-085,,,,,,
Unwind,ABGCC-073,ABGCC-085,,,,,,
Unwind,ABGCC-075,ABGCC-085,,,,,,
Unwind,ABGCC-076,ABGCC-085,,,,,,
Unwind,ABGCC-077,ABGCC-085,,,,,,
Unwind,ABGCC-078,ABGCC-085,,,,,,
Unwind,ABGCC-079,ABGCC-085,,,,,,
Unwind,ABGCC-080,ABGCC-085,,,,,,
Unwind,ABGCC-081,ABGCC-085,,,,,,
Unwind,ABGCC-082,ABGCC-085,,,,,,
Unwind,ABGCC-083,ABGCC-085,,,,,,
Unwind,ABGCC-084,ABGCC-085,,,,,,
Unwind,MIPINOCH,ABGCC-086,,,,,,
Unwind,MIPINOST,ABGCC-086,,,,,,
Unwind,MIPINOCO,ABGCC-087,,,,,,
Unwind,MIPINSST,ABGCC-087,,,,,,
Unwind,MI352403,ABGCC-088,,,,,,
Unwind,MI353000,ABGCC-088,,,,,,
Unwind,MIPINOCH,ABGCC-088,,,,,,
Unwind,MIPINOCO,ABGCC-088,,,,,,
Unwind,MIPINOST,ABGCC-088,,,,,,
Unwind,MIPINSST,ABGCC-088,,,,,,
Unwind,MIRB7126,ABGCC-089,,,,,,
Unwind,MI080650,ABGCC-089,,,,,,
Unwind,MI080700,ABGCC-089,,,,,,
Unwind,MI197410,ABGCC-089,,,,,,
Unwind,MI673099,ABGCC-089,,,,,,
Unwind,MI237930,ABGCC-089,,,,,,
Unwind,MISG0162,ABGCC-089,,,,,,
Unwind,MISG0460,ABGCC-089,,,,,,
Unwind,MISG0730,ABGCC-089,,,,,,
Unwind,MISG0774,ABGCC-089,,,,,,
Unwind,MISG0783,ABGCC-089,,,,,,
Unwind,237026,ABGCC-089,,,,,,
Unwind,090481,ABGCC-089,,,,,,
Unwind,169533,ABGCC-089,,,,,,
Unwind,MI080650,ABGCC-090,,,,,,
Unwind,MISG0774,ABGCC-090,,,,,,
Unwind,MISG0783,ABGCC-090,,,,,,
Unwind,237026,ABGCC-090,,,,,,
Unwind,090481,ABGCC-090,,,,,,
Unwind,MI080700,ABGCC-091,,,,,,
Unwind,MI197410,ABGCC-091,,,,,,
Unwind,MI673099,ABGCC-091,,,,,,
Unwind,MISG0162,ABGCC-091,,,,,,
Unwind,MISG0460,ABGCC-091,,,,,,
Unwind,MISG0730,ABGCC-091,,,,,,
Unwind,MIRB7111,ABGCC-092,,,,,,
Unwind,MI080400,ABGCC-092,,,,,,
Unwind,MISG0576,ABGCC-092,,,,,,
Unwind,MISG0584,ABGCC-092,,,,,,
Unwind,MI187585,ABGCC-092,,,,,,
Unwind,MISG0573,ABGCC-092,,,,,,
Unwind,MI730814,ABGCC-092,,,,,,
Unwind,MISG0225,ABGCC-092,,,,,,
Unwind,MI352134,ABGCC-092,,,,,,
Unwind,MISG0740,ABGCC-092,,,,,,
Unwind,MI720590,ABGCC-092,,,,,,
Unwind,MISG0262,ABGCC-092,,,,,,
Unwind,MI352301,ABGCC-092,,,,,,
Unwind,MISG0591,ABGCC-092,,,,,,
Unwind,MIRB7121,ABGCC-093,,,,,,
Unwind,MI080400,ABGCC-093,,,,,,
Unwind,MISG0576,ABGCC-093,,,,,,
Unwind,MISG0584,ABGCC-093,,,,,,
Unwind,MI187585,ABGCC-093,,,,,,
Unwind,MISG0573,ABGCC-093,,,,,,
Unwind,MI730814,ABGCC-093,,,,,,
Unwind,MISG0225,ABGCC-093,,,,,,
Unwind,MI352134,ABGCC-093,,,,,,
Unwind,MISG0740,ABGCC-093,,,,,,
Unwind,MI720590,ABGCC-093,,,,,,
Unwind,MISG0262,ABGCC-093,,,,,,
Unwind,MI352301,ABGCC-093,,,,,,
Unwind,MISG0591,ABGCC-093,,,,,,
Unwind,MI352450,ABGCC-004,,,,,,
Unwind,MI358779,ABGCC-004,,,,,,
