Trade Date,Order Type,Code,Units,Average Price ($),Brokerage (inc GST.),Dividend Per Share,Dividend Total,Net Proceeds ($),Status,Grouped,Month
21/04/2020,B,NAB,318,15.73,19.95,,,"-5,022.09",Confirmed,12/08/2020,2020-08
22/04/2020,B,NAB,636,15.7,19.95,,,"-10,005.15",Confirmed,12/08/2020,2020-08
8/05/2020,B,NAB,621,16.08,19.95,,,"-10,005.63",Confirmed,12/08/2020,2020-08
12/05/2020,B,NAB,645,15.56,19.95,,,"-10,056.15",Confirmed,12/08/2020,2020-08
15/05/2020,S,NAB,-1266,15.46,21.53,,,"19,550.83",Confirmed,12/08/2020,2020-08
7/08/2020,B,NAB,1528,16.95,28.49,,,"-25,928.09",Confirmed,12/08/2020,2020-08
11/08/2020,S,NAB,-1528,17.75,29.83,,,"27,092.17",Confirmed,12/08/2020,2020-08
12/08/2020,S,NAB,-2414,18.14,48.17,,,"43,741.79",Confirmed,12/08/2020,2020-08
25/02/2020,B,NDQ,106,23.42,19.95,,,"-2,502.47",Confirmed,22/04/2020,2020-04
26/02/2020,B,NDQ,109,22.89,19.95,,,"-2,514.96",Confirmed,22/04/2020,2020-04
22/04/2020,S,NDQ,-215,22.73,19.95,,,"4,867.00",Confirmed,22/04/2020,2020-04
12/02/2020,B,OML,1613,3.1,19.95,,,"-5,020.25",Confirmed,11/03/2020,2020-03
25/02/2020,B,OML,1013,2.96,19.95,,,"-3,018.43",Confirmed,11/03/2020,2020-03
11/03/2020,S,OML,-2626,1.753,19.95,,,"4,583.43",Confirmed,11/03/2020,2020-03
9/08/2019,B,PGH,1034,2.75,12.5,,,"-2,856.00",Confirmed,18/03/2020,2020-03
17/02/2020,B,PGH,1106,2.59,19.95,,,"-2,884.49",Confirmed,18/03/2020,2020-03
19/02/2020,B,PGH,965,2.59,19.95,,,"-2,519.30",Confirmed,18/03/2020,2020-03
20/02/2020,B,PGH,1024,2.44,19.95,,,"-2,518.51",Confirmed,18/03/2020,2020-03
25/02/2020,S,PGH,-1304,2.3,19.95,,,"2,979.25",Confirmed,18/03/2020,2020-03
18/03/2020,S,PGH,-2825,1.43,19.95,,,"4,019.80",Confirmed,18/03/2020,2020-03
22/01/2020,B,SKI,2314,2.155,19.95,,,"-5,006.62",Confirmed,25/03/2020,2020-03
25/03/2020,S,SKI,-2314,1.805,19.95,,,"4,156.82",Confirmed,25/03/2020,2020-03
23/12/2019,B,SXL,2961,0.84,12.5,,,"-2,499.74",Confirmed,11/03/2020,2020-03
12/02/2020,B,SXL,3030,0.83,19.95,,,"-2,534.85",Confirmed,11/03/2020,2020-03
11/03/2020,S,SXL,-5991,0.56,19.95,,,"3,335.01",Confirmed,11/03/2020,2020-03
17/06/2020,B,SXL,12820,0.203,19.95,,,"-2,622.41",Confirmed,22/06/2020,2020-06
22/06/2020,S,SXL,-12820,0.188,19.95,,,"2,390.21",Confirmed,22/06/2020,2020-06
21/04/2020,B,TLS,4934,3.045,19.95,,,"-15,043.98",Confirmed,14/10/2020,2020-10
2/06/2020,B,TLS,3095,3.23,19.95,,,"-10,016.80",Confirmed,14/10/2020,2020-10
5/06/2020,B,TLS,4262,3.23,19.95,,,"-13,786.21",Confirmed,14/10/2020,2020-10
5/06/2020,B,TLS,381,3.23,,,,"-1,230.63",Confirmed,14/10/2020,2020-10
22/06/2020,B,TLS,3134,3.185,19.95,,,"-10,001.74",Confirmed,14/10/2020,2020-10
29/07/2020,S,TLS,-7396,3.37,27.41,,,"24,897.11",Confirmed,14/10/2020,2020-10
13/08/2020,B,TLS,4930,3.17,19.95,,,"-15,648.05",Confirmed,14/10/2020,2020-10
14/08/2020,B,TLS,5090,3.08,19.95,,,"-15,697.15",Confirmed,14/10/2020,2020-10
25/08/2020,S,TLS,-10020,3.065,33.78,,,"30,677.52",Confirmed,14/10/2020,2020-10
26/08/2020,B,TLS,1961,2.965,0,,,"-5,814.37",Confirmed,14/10/2020,2020-10
26/08/2020,B,TLS,8410,2.965,33.83,,672,"-24,297.48",Confirmed,14/10/2020,2020-10
11/09/2020,S,TLS,-10371,2.86,32.63,,,"29,628.43",Confirmed,14/10/2020,2020-10
14/10/2020,S,TLS,-8410,2.895,26.79,,,"24,320.16",Confirmed,14/10/2020,2020-10
18/08/2020,B,WPL,1263,20.18,28.04,,,"-25,515.38",Confirmed,25/08/2020,2020-08
25/08/2020,S,WPL,-1263,20.094,27.92,,,"25,350.80",Confirmed,25/08/2020,2020-08
27/10/2020,B,WPL,1120,17.93,22.09,,,"-20,103.69",Confirmed,3/11/2020,2020-11
3/11/2020,S,WPL,-1120,18.37,22.63,,,"20,551.77",Confirmed,3/11/2020,2020-11
12/11/2020,S,WPL,-1263,20.74,28.81,,,"26,165.81",Confirmed,12/11/2020,2020-11
18/08/2020,B,WPL,1263,20.18,28.04,,,"-25,515.38",Confirmed,12/11/2020,2020-11
27/08/2020,B,IAG,6060,4.955,33.03,,,"-30,060.33",Confirmed,13/11/2020,2020-11
27/08/2020,S,IAG,-6060,5.2,34.66,,,"31,477.34",Confirmed,13/11/2020,2020-11
16/11/2020,B,AGL,1529,13.08,22,,,"-19,977.32",Confirmed,30/11/2020,2020-11
30/11/2020,S,AGL,-1529,13.53,22.76,,,"20,664.61",Confirmed,30/11/2020,2020-11
18/12/2020,B,AIG,2016,4.96,19.95,,,"-10,019.31",Confirmed,31/12/2020,2020-12
30/12/2020,S,AIG,-2016,4.75,19.95,,,"9,556.05",Confirmed,31/12/2020,2020-12
21/12/2020,B,CSL,34,287.51,19.95,,,"-9,795.29",Confirmed,31/12/2020,2020-12
30/12/2020,S,CSL,-34,286.6,19.95,,,"9,724.45",Confirmed,31/12/2020,2020-12
